School,Zip Code,Grades,Local District,Board District,complete_address,lat,long,arrest_0.5_mile,arrest_1_mile
Public Policy Charter,90062,5- 6,XR,1-Dr George J McKenna III,1701 Browning Blvd Los Angeles CA 90062,34.0120751,-118.30936799999999,11,52
Balboa Elementary Gifted/Highly Gifted/High Ability Magnet,91325,1- 5,NW,3-Scott M Schmerelson,17020 Labrador St Northridge CA 91325,34.2489662,-118.5030091,0,4
Valor Academy Elementary School,91325,K- 2,XR,3-Scott M Schmerelson,17081 Devonshire St Northridge CA 91325,34.258472,-118.50573200000001,5,9
Logan Academy of Global Ecology,90026,K- 8,C,5-Vacant,1711 W Montana St Los Angeles CA 90026,34.0788102,-118.257733,5,18
Hightech LA,91406,9-12,XR,3-Scott M Schmerelson,17111 Victory Bl Lake Balboa CA 91406,34.1872124,-118.5061308,3,8
William Mulholland Middle School,91406,6- 8,NW,3-Scott M Schmerelson,17120 Vanowen St Lake Balboa CA 91406,34.193552399999994,-118.50531959999999,2,9
Van Gogh Charter,91344,K- 5,NW,3-Scott M Schmerelson,17160 Van Gogh St Granada Hills CA 91344,34.3055309,-118.5058746,0,0
Arlington Heights Elementary,90019,K- 5,W,1-Dr George J McKenna III,1717 7th Ave Los Angeles CA 90019,34.0418021,-118.3250445,7,74
Granada Elementary,91344,K- 5,NW,3-Scott M Schmerelson,17170 Tribune St Granada Hills CA 91344,34.266944,-118.507778,3,10
Camino Nuevo Elementary School #3,90007,K- 8,XR,2-Monica Garcia,1723 Cordova St Los Angeles CA 90007,34.0392643,-118.29526129999999,14,77
Western Avenue Elementary,90062,K- 5,W,1-Dr George J McKenna III,1724 W 53rd St Los Angeles CA 90062,33.9939307,-118.30724440000002,16,49
KIPP Scholar Academy,90062,5- 7,XR,5-Vacant,1729 W Ml King Jr Blvd Los Angeles CA 90062,34.011112,-118.3100053,12,52
Nora Sterry Elementary,90025,K- 5,W,4-Nick Melvoin,1730 Corinth Ave Los Angeles CA 90025,34.0438281,-118.44737109999998,35,75
Patrick Henry Middle School,91344,6- 8,NW,3-Scott M Schmerelson,17340 San Jose St Granada Hills CA 91344,34.2589715,-118.5120395,3,9
