Arrest Date,Time,Area Name,Age,Sex Code,Descent Code,Arrest Type Code,Charge Description,lat,long,disp_0.5_mile,disp_1_mile,school_0.5_mile,school_1_mile
2017-10-18,1645.0,N Hollywood,25,M,H,F,furnishing marijuana to minor over 14 yrs,34.1577,-118.3702,1,3,0,6
2017-10-18,2025.0,Hollywood,30,M,W,M,sale/offer to sell/transport marijuana,34.098,-118.3252,2,3,0,12
2017-10-18,2100.0,Harbor,31,M,W,M,possess marijuana for sale,33.7433,-118.2879,0,0,2,7
2017-10-18,27.0,Pacific,37,M,B,F,transport/sell/furnish/etc marijuana,33.9428,-118.4054,0,0,0,0
2017-10-19,1800.0,Hollywood,36,M,B,F,transport/sell/furnish/etc marijuana,34.1016,-118.331,2,2,1,8
2017-10-19,1440.0,Hollywood,26,M,B,M,possess 28.5 grams or less of marijuana,34.1016,-118.3417,0,5,2,4
2017-10-21,1820.0,Rampart,15,M,H,I,possess 28.5 grams or less of marijuana,34.0501,-118.2686,0,10,7,20
2017-10-23,720.0,Hollywood,21,M,B,M,sell/furnish/etc marij/hash over 1 oz,34.0926,-118.3395,2,6,2,6
2017-10-23,1900.0,Central,34,M,H,F,transport/sell/furnish/etc marijuana,34.0335,-118.2619,8,17,5,13
2017-10-27,1222.0,Pacific,19,M,W,F,sale/trans >28.5g marijuana or >4g,33.9984,-118.415,1,2,3,7
2017-10-28,1620.0,Pacific,56,M,W,I,smoke marij loc where smoke tobacco proh,33.988,-118.4745,1,2,1,3
2017-10-28,45.0,Hollywood,28,M,H,M,possess marijuana for sale,34.0998,-118.3211,2,3,6,10
2017-10-28,56.0,Rampart,21,M,H,F,possession marijuana for sale,34.0721,-118.2669,1,2,3,16
2017-10-30,2135.0,Hollywood,47,F,W,M,possess marijuana for sale,34.0953,-118.3266,2,2,1,12
2017-10-30,2135.0,Hollywood,40,M,B,F,transport/sell/furnish/etc marijuana,34.0953,-118.3266,2,2,1,12
2017-10-30,1730.0,Van Nuys,38,M,H,M,give/transport/etc < 28.5 grams marijuana,34.1867,-118.4575,1,1,3,7
2017-10-30,1700.0,Van Nuys,29,M,W,M,give/transport/etc < 28.5 grams marijuana,34.1867,-118.4465,0,1,3,7
2017-10-30,830.0,77th Street,27,M,H,M,sell/furnish/etc marij/hash over 1 oz,33.9892,-118.3113,1,2,1,7
2017-10-31,1310.0,N Hollywood,31,M,A,M,cultivating <6 marijuana plants,34.194,-118.3768,0,4,1,3
2017-10-31,1310.0,N Hollywood,37,M,H,M,cultivating <6 marijuana plants,34.194,-118.3768,0,4,1,3
2017-10-31,1310.0,N Hollywood,42,M,O,M,cultivating <6 marijuana plants,34.194,-118.3768,0,4,1,3
2017-10-31,1310.0,N Hollywood,62,M,W,M,cultivating <6 marijuana plants,34.194,-118.3768,0,4,1,3
2017-10-31,1300.0,Hollywood,22,M,B,M,sale/offer to sell/transport marijuana,34.0944,-118.331,2,4,2,10
2017-10-31,2020.0,Olympic,20,M,H,F,possession marijuana for sale,34.069,-118.3091,0,2,2,12
2017-11-02,1620.0,Hollywood,45,M,O,M,cultivating <6 marijuana plants,34.0944,-118.331,2,4,2,10
2017-11-03,300.0,Foothill,32,M,O,M,cultivating <6 marijuana plants,34.2105,-118.4053,0,1,1,6
2017-11-04,1400.0,Central,29,M,B,F,possession marijuana for sale,34.0401,-118.2459,4,13,1,5
2017-11-05,1200.0,Southwest,38,M,H,F,transport/sell/furnish/etc marijuana,34.0311,-118.2749,2,12,6,16
2017-11-05,1530.0,Wilshire,41,M,H,M,poss of more than 28.5 grams of marijuana,34.0473,-118.3213,1,3,4,13
2017-11-05,1035.0,Olympic,33,M,H,M,sale/offer to sell/transport marijuana,34.0399,-118.2841,0,4,6,20
2017-11-06,1800.0,Newton,33,M,H,F,transport/sell/furnish/etc marijuana,34.0096,-118.244,0,2,4,13
2017-11-06,1415.0,Van Nuys,26,M,B,M,give/transport/etc < 28.5 grams marijuana,34.1877,-118.4465,0,1,3,10
2017-11-06,1515.0,Van Nuys,23,M,H,M,give/transport/etc < 28.5 grams marijuana,34.2131,-118.4584,1,1,2,9
2017-11-06,1515.0,Van Nuys,19,M,H,M,give/transport/etc < 28.5 grams marijuana,34.2131,-118.4584,1,1,2,9
2017-11-06,1320.0,Van Nuys,22,M,H,M,give/transport/etc < 28.5 grams marijuana,34.2131,-118.4584,1,1,2,9
2017-11-06,1520.0,Van Nuys,20,M,H,M,give/transport/etc < 28.5 grams marijuana,34.2131,-118.4584,1,1,2,9
2017-11-06,1245.0,Newton,13,M,H,M,possess marijuana for sale,34.0129,-118.2454,1,5,4,13
